model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates,spec_key,spec_label,family,spec_note,n_model_vars,data_start,data_end,rank
ARIMA,test,1,all,801.3589159418995,1029.8705298519355,17.26132521157889,20.34171722433756,2.6847364493950687,1594.4715471441943,650.5619453876053,-9.44333192529841,0.4444444444444444,0.5277777777777778,36,common_dates,2023-01-01,2025-12-01,36,parsimonious_stl_adjusted,Parsimonious + STL-adjusted trade balance,transformation,Uses a train-period STL month-of-year adjustment for the trade balance.,3,2007-01-01,2025-12-01,6
VECM,test,1,all,931.7905467759496,1174.5312285424247,21.02172574295973,25.479102482406415,3.1217123742746575,1844.5308555061815,762.8804712818192,-10.187920051286405,0.3888888888888889,0.5277777777777778,36,common_dates,2023-01-01,2025-12-01,36,parsimonious_stl_adjusted,Parsimonious + STL-adjusted trade balance,transformation,Uses a train-period STL month-of-year adjustment for the trade balance.,3,2007-01-01,2025-12-01,7
Naive,test,1,all,935.851255853071,1178.9472483420434,20.469342901823072,24.702506698324086,3.135316682472718,1864.1568114086267,761.484488425461,-9.881838123669574,0.4444444444444444,0.5277777777777778,36,common_dates,2023-01-01,2025-12-01,36,parsimonious_stl_adjusted,Parsimonious + STL-adjusted trade balance,transformation,Uses a train-period STL month-of-year adjustment for the trade balance.,3,2007-01-01,2025-12-01,8
BVAR,test,1,all,954.8927749137151,1205.1044006954794,21.183246920056725,25.722219019457135,3.1991101453730155,1895.5847390948782,784.2314267568279,-10.204142417889198,0.4166666666666667,0.5277777777777778,36,common_dates,2023-01-01,2025-12-01,36,parsimonious_stl_adjusted,Parsimonious + STL-adjusted trade balance,transformation,Uses a train-period STL month-of-year adjustment for the trade balance.,3,2007-01-01,2025-12-01,9
DMS,test,1,all,241.42131154213382,328.3888810275143,5.722366462113669,6.044266455732359,0.71058142984502,443.2671462158714,,,,,27,common_dates,2023-01-01,2025-03-01,27,bop_stl_adjusted,BoP + STL-adjusted seasonal flows,transformation,"Uses train-period STL month-of-year adjustments for exports, imports, and tourism.",5,2009-01-01,2025-03-01,1
MS-VAR,test,1,all,241.42131154213382,328.3888810275143,5.722366462113669,6.044266455732359,0.71058142984502,443.2671462158714,197.31348694357823,-7.389037615949807,0.9259259259259259,1.0,27,common_dates,2023-01-01,2025-03-01,27,bop_stl_adjusted,BoP + STL-adjusted seasonal flows,transformation,"Uses train-period STL month-of-year adjustments for exports, imports, and tourism.",5,2009-01-01,2025-03-01,2
DMA,test,1,all,241.4215776407648,328.3890896971912,5.722371904322938,6.04427349284643,0.710582213059826,443.26787935930736,,,,,27,common_dates,2023-01-01,2025-03-01,27,bop_stl_adjusted,BoP + STL-adjusted seasonal flows,transformation,"Uses train-period STL month-of-year adjustments for exports, imports, and tourism.",5,2009-01-01,2025-03-01,3
MS-VECM,test,1,all,303.67160135660447,388.3853474061352,7.631403855586242,8.18684766621984,0.8938042765029198,588.0387816384666,225.4153127148343,-7.46324979839051,0.9259259259259259,1.0,27,common_dates,2023-01-01,2025-03-01,27,bop_stl_adjusted,BoP + STL-adjusted seasonal flows,transformation,"Uses train-period STL month-of-year adjustments for exports, imports, and tourism.",5,2009-01-01,2025-03-01,4
XGBoost,test,1,all,720.2265218098959,939.187064399729,18.337515958536454,21.73986437224818,2.1198608706533495,1359.288402416088,716.3921808920552,-10990.930063938,0.037037037037037035,0.037037037037037035,27,common_dates,2023-01-01,2025-03-01,27,bop_stl_adjusted,BoP + STL-adjusted seasonal flows,transformation,"Uses train-period STL month-of-year adjustments for exports, imports, and tourism.",5,2009-01-01,2025-03-01,5
ARIMA,test,1,all,1092.46628667273,1234.5093425451435,24.879500245114937,28.701874857560224,3.2154835506554167,2136.4266507819393,866.5104382137025,-10.145317512984482,0.25925925925925924,0.3333333333333333,27,common_dates,2023-01-01,2025-03-01,27,bop_stl_adjusted,BoP + STL-adjusted seasonal flows,transformation,"Uses train-period STL month-of-year adjustments for exports, imports, and tourism.",5,2009-01-01,2025-03-01,6
BVAR,test,1,all,1182.5429913526245,1347.1998065851296,26.699282204250373,32.322275429979435,3.4806085853854034,2346.0412940704464,946.7363790092537,-10.490940017092768,0.2962962962962963,0.37037037037037035,27,common_dates,2023-01-01,2025-03-01,27,bop_stl_adjusted,BoP + STL-adjusted seasonal flows,transformation,"Uses train-period STL month-of-year adjustments for exports, imports, and tourism.",5,2009-01-01,2025-03-01,7
Naive,test,1,all,1180.5794522485394,1350.8071814239772,26.25437736988761,31.865134947187993,3.4748292512610672,2352.246118915206,945.0203125250403,-10.377929218444754,0.2962962962962963,0.37037037037037035,27,common_dates,2023-01-01,2025-03-01,27,bop_stl_adjusted,BoP + STL-adjusted seasonal flows,transformation,"Uses train-period STL month-of-year adjustments for exports, imports, and tourism.",5,2009-01-01,2025-03-01,8
VECM,test,1,all,1399.454373742001,1563.8306945242507,32.42961096586548,40.882913452363674,4.119049323128654,2773.7738401731153,1167.0963793078968,-12.622998179121632,0.2222222222222222,0.2222222222222222,27,common_dates,2023-01-01,2025-03-01,27,bop_stl_adjusted,BoP + STL-adjusted seasonal flows,transformation,"Uses train-period STL month-of-year adjustments for exports, imports, and tourism.",5,2009-01-01,2025-03-01,9
