model,forecast_origin,forecast_date,horizon,split,actual,forecast,std,lower_80,upper_80,lower_95,upper_95,crps,log_score
VECM,2020-05-01,2020-06-01,1,validation,6694.648013475818,7650.29832867818,453.187854236359,7069.514724595595,8231.081932760766,6762.0664561439535,8538.530201212407,705.6894601473941,-9.258614001587494
XGBoost,2020-05-01,2020-06-01,1,validation,6694.648013475818,6909.90478515625,7.457018050498457,6900.348231999336,6919.461338313164,6895.289298345208,6924.520271967292,211.04959977201358,-419.56070566415224
ARIMA,2020-06-01,2020-07-01,1,validation,7095.831822594811,7749.946523690109,468.82147922919677,7149.127623022809,8350.765424357409,6831.073309222115,8668.819738158101,424.354700568634,-8.042496668455584
BVAR,2020-06-01,2020-07-01,1,validation,7095.831822594811,7540.366947805635,456.35275923180586,6955.527354771334,8125.206540839937,6645.931975465842,8434.801920145428,266.93269031743,-7.516644104291632
DMA,2020-06-01,2020-07-01,1,validation,7095.831822594811,7279.0945019812925,,,,,,,
DMS,2020-06-01,2020-07-01,1,validation,7095.831822594811,7749.946523690109,,,,,,,
MS-VAR,2020-06-01,2020-07-01,1,validation,7095.831822594811,6878.6189149430365,495.70737452821083,6243.344353064206,7513.893476821867,5907.050313996862,7850.187515889211,153.21955210846733,-7.220928574801062
MS-VECM,2020-06-01,2020-07-01,1,validation,7095.831822594811,6793.286136506833,495.70737452821083,6158.011574628003,7428.560698385663,5821.717535560659,7764.854737453007,187.3059648056375,-7.311176413469679
Naive,2020-06-01,2020-07-01,1,validation,7095.831822594811,7512.733529432759,495.70737452821083,6877.458967553928,8148.008091311589,6541.164928486584,8484.302130378932,248.0265546124633,-7.478584843119737
VECM,2020-06-01,2020-07-01,1,validation,7095.831822594811,7650.29832867818,453.187854236359,7069.514724595595,8231.081932760766,6762.0664561439535,8538.530201212407,347.23159628849015,-7.783697538619008
XGBoost,2020-06-01,2020-07-01,1,validation,7095.831822594811,6828.4111328125,7.457018050498457,6818.854579655586,6837.967685969414,6813.795646001458,6843.026619623542,263.2135178738917,-645.9557103138701
ARIMA,2020-07-01,2020-08-01,1,validation,7430.083006707859,7751.410874245066,468.82147922919677,7150.591973577766,8352.229774912366,6832.537659777073,8670.284088713059,194.138421642837,-7.3040436967199245
BVAR,2020-07-01,2020-08-01,1,validation,7430.083006707859,7531.506423881427,468.45652186551007,6931.155234894916,8131.857612867937,6613.348512702152,8449.664335060701,118.20213423575886,-7.0918191451936226
DMA,2020-07-01,2020-08-01,1,validation,7430.083006707859,7363.5762792646765,,,,,,,
DMS,2020-07-01,2020-08-01,1,validation,7430.083006707859,7751.410874245066,,,,,,,
