date,gross_reserves_usd_m,exports_usd_m,imports_usd_m,remittances_usd_m,tourism_usd_m,usd_lkr,m2_usd_m,cse_net_usd_m,trade_balance_usd_m
2014-06-01,9164.004705013178,985.6929784578036,1439.4000128990126,585.1055018097321,164.24634600000002,130.2714,24673.99922261525,28.800853234459744,-453.707034441209
2014-07-01,8973.741181262614,956.6346767350084,1845.3214368037536,606.6550748186075,213.27111432000004,130.2123,24810.281695715385,36.272422508938114,-888.6867600687452
2014-08-01,9185.637359336446,992.63269049287,1724.5032441152289,548.0727325527537,223.37662248,130.1748,25042.053096928128,-27.604013578433182,-731.8705536223589
2014-09-01,8821.804336421244,902.8373773847655,1667.4534675979414,574.9856248534595,168.0032772,130.2562,25463.355468185007,-9.532112946000709,-764.6160902131759
2014-10-01,8790.920103836674,901.8375575516689,1750.183376902154,600.0567071720749,193.53926592000005,130.5618,25668.060464102058,59.72336616461948,-848.345819350485
2014-11-01,8330.88205481358,921.1614324694976,1646.8201108412436,619.2519676205568,190.59580584000005,130.9278,25957.428796466455,43.330000000000005,-725.658678371746
2014-12-01,8208.41,1005.11543783744,1797.463646193876,708.8399889603842,284.43153024,131.0786,26400.631408406865,12.397221181324385,-792.348208356436
2015-01-01,7252.429999999999,920.4476963793944,1681.638791031421,523.519712878593,258.96368285999995,131.6075,26347.70569299622,0.9048715580525766,-761.1910946520267
2015-02-01,7420.4554996301695,907.2515049439392,1529.5265400541437,511.6433953413521,274.3693088099999,132.7221,26314.824361112427,27.157818525356724,-622.2750351102045
2015-03-01,6819.545505227352,1068.1060192583625,1580.9272446218558,644.2602425886938,260.29789791,132.95,26729.06404865739,10.544939926328809,-512.8212253634933
2015-04-01,7454.631473478869,716.9613847423697,1490.4509529838303,585.9398490044716,202.56367797,132.9227,27033.79829454262,6.2756059521261705,-773.4895682414607
2015-05-01,6845.77,886.0799616559248,1585.454308617008,537.735348282721,188.16409989,133.46,27283.613290753783,13.285780092106933,-699.3743469610833
2015-06-01,7525.485379478358,945.5608430207932,1678.7413939501655,629.565391314044,191.37616047,133.9382,27456.52663729989,-13.343004924055002,-733.1805509293723
2015-07-01,6808.550649772876,937.1303438840304,1533.8807808781642,599.2998373972191,291.37930764,133.6818,27918.816620646936,-4.830728168170282,-596.7504369941338
2015-08-01,6457.719028229418,802.1047080460835,1523.3760244315254,566.0370747735901,276.14108009999995,133.8519,28269.08093725976,-32.15968804631892,-721.2713163854419
2015-09-01,6783.679258500682,853.1930077327272,1582.7227992084577,584.176236722284,237.62950134,139.2329,27448.99671744968,1.3363103368508007,-729.5297914757305
2015-10-01,6480.684974502037,850.7400210189741,1638.2704551726467,605.1425603891124,219.2421948,140.851,27448.99671744968,-1.2728683657532258,-787.5304341536727
2015-11-01,7281.211071319568,838.4221305919958,1464.8793205654338,574.464192736019,238.91067926999995,141.9637,27793.906925911346,-0.4428710774356261,-626.457189973438
2015-12-01,7303.637753940239,820.500899422696,1644.7273874133791,618.5176333174204,341.61540474,143.335,28305.801965549235,-3.440817615831932,-824.2264879906832
2016-01-01,6294.321468539339,898.5946185751349,1589.1274650552757,563.4316940355515,333.3145392,143.5505,28581.9389870812,-18.88047478137486,-690.5328464801408
2016-02-01,6573.369087438172,891.5970221812355,1439.3103148514124,554.1924570180978,339.17688108,143.639,28950.4209315548,8.781888957791374,-547.7132926701769
