date,gross_reserves_usd_m,import_cover_months,fx_reserves_usd_m,imf_position_usd_m,sdrs_usd_m,gold_usd_m,exports_usd_m,imports_usd_m,tourism_usd_m,remittances_usd_m,cse_net_usd_m,m0_lkr_m,m2_lkr_m,usd_lkr,inflation_yoy_pct,govt_short_term_usd_m,total_short_term_usd_m,portfolio_liabilities_usd_b,total_short_term_debt_lkr_m,trade_balance_usd_m,ca_proxy_usd_m,net_usable_reserves_usd_m,gg_ratio,m2_usd_m,reserve_change_usd_m,reserve_change_pct
2021-01-01,4841.863004371764,3.227908669581176,4365.344107248174,68.9499032728,6.641043437161345,397.9654571982893,936.6622814854384,1591.5901970507057,4.3837293200000005,675.3390054353866,-44.003006983881875,975897.11785027,8600018.59466923,,4.2,,,4446.663995049526,2198264.83208594,-654.9279155652673,24.794819190119142,4841.863004371764,,,-822.4025649789919,-14.519138534552445
2021-02-01,4582.993424023525,3.055328949349017,4125.455237273178,68.87668467757,2.7683636392693596,381.3599599782282,951.724574048446,1523.603972592037,8.77267116,579.6821699858931,-25.57433985497059,978089.65616732,8706197.86802632,,5.1,,,4446.663995049526,2198264.83208594,-571.879398543591,16.575442602302246,4582.993424023525,,,-258.86958034823874,-5.346487088017627
2021-03-01,4055.2,2.7034666666666665,3610.656765418401,67.82099695811,2.7284500040483897,367.82484816836205,1093.7738520883445,1925.9318375289247,11.939277059999997,612.039426055064,-21.36481840454868,1028599.34983621,8860584.061792819,,5.5,,,3491.394366421743,2523720.98679441,-832.1579854405802,-208.17928232551617,2555.2,,,-527.7934240235254,-11.516346963469182
2021-04-01,4470.738472224253,2.9804923148161686,4013.2218831923983,68.71971932309,6.491208970121892,381.05302913827904,818.1842602092861,1706.9720121710045,10.86289168,518.7544137326089,-15.948792751161028,1031144.38090354,8944644.373077359,,5.5,,,3491.394366421743,2523720.98679441,-888.7877519617184,-359.17044654910933,2970.738472224253,,,415.5384722242534,10.247052481363529
2021-05-01,4032.831217910092,2.688554145273395,3548.5948506768955,69.13510324897,2.9301115227978944,410.72193390837094,891.7032201204976,1607.4340540931253,3.90157122,460.114150675105,-11.93809272677704,1036010.01184011,9016772.20974011,,5.0,,,3491.394366421743,2523720.98679441,-715.7308339726277,-251.7151120775227,2532.831217910092,,,-437.90725431416104,-9.794964680550777
2021-06-01,4060.0459080962846,2.7066972720641895,3599.194420172977,68.26174418822,8.643235091091306,381.2641113983378,1007.0147013013268,1659.2043487791664,4.206503639999999,478.4486578808749,-5.7246997901794945,1065064.2538483602,9136219.72275236,,5.2,,,2093.2135071190814,2703143.00118536,-652.1896474778396,-169.53448595696477,2560.0459080962846,,,27.214690186192456,0.674828395131688
2021-07-01,2805.884166609781,1.8705894444065208,2334.4217196247946,68.37420412207001,12.231014168869384,390.7574285982992,1103.9334293875042,1710.0957416175922,6.33060554,453.2632668392378,-40.83494497596533,1063865.93498914,9269581.34104814,,6.0,,,2093.2135071190814,2703143.00118536,-606.162312230088,-146.56843985085015,1305.884166609781,,,-1254.1617414865036,-30.89033399808446
2021-08-01,3543.508985941734,2.362339323961156,2954.224646512238,68.15837675966,129.3,390.6357332184286,1101.034874644722,1686.6675039530146,13.1355504,446.6176342664486,-15.934678878405236,1089265.63721614,9412400.623723725,,6.0,,,2093.2135071190814,2703143.00118536,-585.6326293082925,-125.87944464184397,2043.508985941734,,,737.624819331953,26.288498581293563
2021-09-01,2704.1872990039246,1.8027915326692832,2129.1970316576635,67.42188383117,127.9,378.4306550668372,1034.4575246293707,1526.032657370234,35.307004219999996,353.22780133179384,-33.73034693308381,1295955.78850114,9448987.05630214,,6.2,,,1844.8171483731737,3125644.17555214,-491.5751327408632,-103.04032718906933,1204.1872990039246,,,-839.3216869378093,-23.686173515226706
2021-10-01,2269.211946488995,1.5128079643259968,1687.732932944309,67.73342177558001,128.5,384.1223375883549,1192.3364394091789,1694.2769255028936,59.34714646,317.38781426512065,-7.068704915995532,1286440.88917625,9535950.16260725,,7.6,,,1844.8171483731737,3125644.17555214,-501.94048609371475,-125.20552536859418,769.2119464889952,,,-434.97535251492945,-16.08525240374994
2021-11-01,1588.37233054694,1.0589148870312934,1014.6678115731258,67.03569163280001,123.7,382.21398159832785,1211.4690722829191,1764.628143730678,115.44168044,271.43416537213164,-19.791528233488307,1287802.8704132398,9510655.13616524,,9.9,,,1844.8171483731737,3125644.17555214,-553.1590714477588,-166.2832256356271,88.37233054694002,,,-680.8396159420552,-30.003350590299604
2021-12-01,3139.2264604363068,2.092817640290871,2771.950604309453,66.97778673069,123.55832378048096,175.37950520835307,1156.2853341767309,2240.979740627027,233.27590756,325.155964755842,3.932546640748423,1305808.68900562,9638905.35845862,,12.1,,,1525.6706771282813,3139997.462827621,-1084.694406450296,-526.262534134454,1639.2264604363068,,,1550.8541298893667,97.63794672470438
2022-01-01,2361.645210710561,1.574430140473707,2079.0822190842528,66.60403690798,122.87020477320132,92.01475891839098,1102.6034670306735,1959.383635296777,151.7358399144,259.2224004013944,36.31403484733201,,,,14.2,,,1525.6706771282813,3139997.462827621,-856.7801682661034,-445.8219279503089,861.6452107105611,,,-777.5812497257457,-24.769836121274068
2022-02-01,2311.250466948733,1.5408336446324886,2026.211458689099,66.75143120426,119.54321698144474,97.6679900699851,1093.3378369012546,1872.9492863064163,169.40481704100003,204.92486303716285,48.689636777760136,,,,15.1,,,1525.6706771282813,3139997.462827621,-779.6114494051617,-405.28176932699876,811.250466948733,,,-50.39474376182807,-2.1338829191310027
2022-03-01,1917.0,1.278,1701.5156177668896,66.1551542784,118.4771662909726,29.32275347996655,1058.2320434309793,1818.9123121575751,161.2374855,318.4002148284584,5.470861243674474,,,,18.7,,,1525.529948208797,3231135.30655243,-760.6802687265958,-281.0425683981375,417.0,,,-394.250466948733,-17.05788587548517
2022-04-01,1812.0,1.208,1602.2132233302032,64.3318676913,115.19728005431384,28.727127709960502,970.9060449924372,1698.9619799051154,108.6590791,248.94295927029472,1.5183353781939788,,,,29.8,,,1525.529948208797,3231135.30655243,-728.0559349126783,-370.4538965423835,312.0,,,-105.0,-5.477308294209704
2022-05-01,1887.0,1.258,1776.443218752245,64.59028626269999,16.728281250120986,27.82959905998447,1048.30075887742,1451.4641465787,43.53804386099999,304.13890450622404,0.4344407444170803,,,,39.1,,,1525.529948208797,3231135.30655243,-403.1633877012798,-55.48643933405583,387.0,,,75.0,4.139072847682113
2022-06-01,1854.0,1.236,1745.8068806701,63.54129828398,16.463361118497374,27.373033419973755,,,45.0127134288,274.30161465382605,-0.0108731115421263,,,,54.6,,,1516.000720146794,3357437.8777204296,,319.31432808262605,354.0,,,-33.0,-1.748807631160576
2022-07-01,1817.0,1.2113333333333334,1709.2536743990577,63.341263167600005,16.41826927392439,26.74438465997783,,,85.0266091584,279.473219110128,2.172483433461323,,,,60.8,,,1516.000720146794,3357437.8777204296,,364.499828268528,317.0,,,-37.0,-1.9956850053937436
2022-08-01,1717.0,1.1446666666666667,1619.7293473292389,62.27600438994,8.453476079115822,25.91562865996766,1225.3706146436166,1485.870236308291,67.94319168,325.35725286826,2.583559565546066,,,,64.3,,,1516.000720146794,3357437.8777204296,-260.49962166467435,132.80082288358562,217.0,,,-100.0,-5.503577325261421
2022-09-01,1779.0,1.186,1682.8377556750895,61.249029845079995,8.335055932475932,25.149131609975203,1079.8298985077097,1284.363138823137,40.5121295124,359.3294925274374,40.624043634150894,,,,69.8,,,1516.7084211614554,3782870.2035770305,-204.5332403154273,195.30838172441008,279.0,,,62.0,3.6109493302271423
2022-10-01,1705.0,1.1366666666666667,1609.8058427330575,3.66416638739,66.12635279254013,24.742857879961463,,1335.6650258777895,54.89877393,355.3548728418218,7.261948917101128,,,,66.0,,,1516.7084211614554,3782870.2035770305,,-925.4113791059676,205.0,,,-74.0,-4.159640247329966
2022-11-01,1806.0,1.204,1733.1032348497404,3.75425081844,40.98827921177144,26.785284699969026,995.3306766048756,1444.5641504195742,80.98046070660001,384.40581738667186,-0.4604181239478544,,,,61.0,,,1516.7084211614554,3782870.2035770305,-449.2334738146985,16.152804278573285,306.0,,,101.0,5.923753665689158
2022-12-01,1898.0,1.2653333333333334,1863.34032475192,3.79993547444,1.8062851357314544,27.626916639971355,1067.5928431750358,1425.5633543297174,127.359455769,475.61069513836514,37.250466224307054,,,,57.2,,,1518.692519767371,4280200.857178661,-357.9705111546816,244.9996397526836,398.0,,,92.0,5.094130675526021
2023-01-01,2121.0,1.414,2065.432830597256,3.85027425477,21.693903222956145,29.207930409951956,978.1692142738522,1423.3694642654602,153.50127706134003,437.48872117666946,1.2461671249899968,,,,53.2,,,1518.692519767371,4280200.857178661,-445.2002499916081,145.78974824640136,621.0,,,223.0,11.749209694415175
2023-02-01,2219.0,1.4793333333333334,2184.2875087265556,3.794082127889999,1.726419778645579,27.671755199985174,981.9602879262028,1021.043613690764,161.61072694880403,407.4113413923999,7.910152149576499,,,,50.6,,,1518.692519767371,4280200.857178661,-39.08332576456121,529.9387425766427,719.0,,,98.0,4.62046204620461
2023-03-01,2694.0,1.796,2629.1164092506947,3.8410231119299993,28.414852056179377,29.82264284079628,1037.454601851765,1449.5424020103417,188.83508287218004,568.3133040502482,-8.00392718210622,,,,50.3,,,1527.426637681139,4800578.836136741,-412.0878001585768,345.06058676385146,1194.0,,,475.0,21.406038756196487
2023-04-01,2761.0,1.840666666666667,2692.70596778638,3.84610552991,28.435647809627753,30.13863353999689,848.6106835552755,1431.1968085591518,148.21812169452002,453.9889329798782,2.7632264862903337,,,,35.3,,,1527.426637681139,4800578.836136741,-582.5861250038763,19.620929670521946,1261.0,,,67.0,2.487008166295479
2023-05-01,3491.0,2.3273333333333333,3445.19039360963,3.79028459086,4.3729134257468845,29.727815359986145,1019.4882810840828,1466.26466039326,99.980934039996,479.7068400575331,-0.603904351101602,,,,25.2,,,1527.426637681139,4800578.836136741,-446.7763793091773,132.9113947883518,1991.0,,,730.0,26.439695762404924
2023-06-01,3724.0,2.482666666666667,3679.9931156252305,3.79773690037,4.381511277152309,29.06993063996374,1005.3431602556694,1369.0863464942988,122.8541919168,475.7080813695716,-0.8853298475391966,,,,12.0,,,1597.987805425589,5463087.08171072,-363.7431862386294,234.8190870477422,2224.0,,,233.0,6.674305356631338
2023-07-01,3765.0,2.51,3696.979610834912,3.83448449554,33.6999995794584,29.76023242998622,1020.4368441837172,1387.5562815531268,218.982313497636,540.9649875806649,6.982342708144914,,,,6.3,,,1597.987805425589,5463087.08171072,-367.11943736940964,392.8278637088913,2265.0,,,41.0,1.1009667024704628
2023-08-01,3600.0,2.4,3561.7463096346532,3.797365712539999,4.556530046265157,29.384103539973857,1118.6450490874097,1426.0216959381046,210.50913652932,499.1628509746794,6.029679577524075,,,,4.0,,,1597.987805425589,5463087.08171072,-307.3766468506949,402.2953406533045,2100.0,,,-165.0,-4.3824701195219085
2023-09-01,3540.0,2.36,3498.8954179148086,3.75465055918,4.505275335917647,27.997592179974713,971.9093413000884,1349.281943822426,152.189377517928,482.3674846714565,-4.525918201425097,,,,1.3,,,1796.505136030449,3406256.7754032,-377.3726025223376,257.18425966704694,2040.0,,,-60.0,-1.6666666666666718
