date,gross_reserves_usd_m,exports_usd_m,imports_usd_m,remittances_usd_m,tourism_usd_m
2021-04-01,4470.738472224253,818.1842602092861,1706.9720121710045,518.7544137326089,10.86289168
2021-05-01,4032.831217910092,891.7032201204976,1607.4340540931253,460.114150675105,3.90157122
2021-06-01,4060.0459080962846,1007.0147013013268,1659.2043487791664,478.4486578808749,4.206503639999999
2021-07-01,2805.884166609781,1103.9334293875042,1710.0957416175922,453.2632668392378,6.33060554
2021-08-01,3543.508985941734,1101.034874644722,1686.6675039530146,446.6176342664486,13.1355504
2021-09-01,2704.1872990039246,1034.4575246293707,1526.032657370234,353.22780133179384,35.30700422
2021-10-01,2269.211946488995,1192.3364394091789,1694.2769255028936,317.38781426512065,59.34714646
2021-11-01,1588.37233054694,1211.4690722829191,1764.628143730678,271.43416537213164,115.44168044
2021-12-01,3139.2264604363068,1156.2853341767309,2240.979740627027,325.155964755842,233.27590756
2022-01-01,2361.645210710561,1102.6034670306735,1959.383635296777,259.2224004013944,151.7358399144
2022-02-01,2311.250466948733,1093.3378369012546,1872.9492863064163,204.92486303716285,169.40481704100003
2022-03-01,1917.0,1058.2320434309793,1818.9123121575751,318.4002148284584,161.2374855
2022-04-01,1812.0,970.9060449924372,1698.9619799051154,248.94295927029472,108.6590791
2022-05-01,1887.0,1048.30075887742,1451.4641465787,304.13890450622404,43.53804386099999
2022-06-01,1854.0,1048.30075887742,1451.4641465787,274.30161465382605,45.0127134288
2022-07-01,1817.0,1048.30075887742,1451.4641465787,279.473219110128,85.0266091584
2022-08-01,1717.0,1225.3706146436166,1485.870236308291,325.35725286826,67.94319168
2022-09-01,1779.0,1079.8298985077097,1284.363138823137,359.3294925274374,40.5121295124
2022-10-01,1705.0,1079.8298985077097,1335.6650258777895,355.3548728418218,54.89877393
2022-11-01,1806.0,995.3306766048756,1444.5641504195742,384.4058173866719,80.98046070660001
2022-12-01,1898.0,1067.5928431750358,1425.5633543297174,475.61069513836514,127.359455769
2023-01-01,2121.0,978.1692142738522,1423.3694642654602,437.4887211766695,153.50127706134003
2023-02-01,2219.0,981.9602879262028,1021.043613690764,407.4113413923999,161.61072694880403
2023-03-01,2694.0,1037.454601851765,1449.5424020103417,568.3133040502482,188.83508287218004
2023-04-01,2761.0,848.6106835552755,1431.1968085591518,453.9889329798782,148.21812169452002
2023-05-01,3491.0,1019.4882810840828,1466.26466039326,479.7068400575331,99.980934039996
2023-06-01,3724.0,1005.3431602556694,1369.0863464942988,475.7080813695716,122.8541919168
2023-07-01,3765.0,1020.4368441837172,1387.5562815531268,540.9649875806649,218.982313497636
2023-08-01,3600.0,1118.6450490874097,1426.0216959381046,499.1628509746794,210.50913652932
2023-09-01,3540.0,971.9093413000884,1349.281943822426,482.3674846714565,152.189377517928
2023-10-01,3569.0,927.9594595076356,1610.4858515561652,517.3867852823716,136.696650474108
2023-11-01,3571.0,998.9726493735892,1388.7052070763218,537.3232669836915,205.30989463958403
2023-12-01,4392.0,1001.760350345166,1488.5760792325318,569.7359351360864,269.26826322432004
2024-01-01,4496.0,970.723959801696,1511.787852753663,487.56912560776783,341.78878040700005
2024-02-01,4520.0,1059.318562299895,1378.4196626938108,476.15274509709104,345.70285585000005
2024-03-01,4960.0,1148.4812078626312,1507.6996834532686,572.3817390557347,338.3857236795
2024-04-01,5471.0,877.5787392596055,1435.2460605667366,543.8344997214689,225.71594150849995
2024-05-01,5410.0,1011.2546937501978,1404.5956093616087,544.4126225033511,153.964862976
2024-06-01,5654.0,1077.024307218306,1446.621209252268,519.6086007985568,151.079915175
2024-07-01,5652.0,1130.2795584462635,1734.1215798577125,566.8300693319559,328.310191475
2024-08-01,5959.0,1231.6821030552203,1654.0274199404437,577.4570513490174,282.0869865110001
2024-09-01,5994.0,1011.7372962546182,1645.7399723713993,555.5530322870613,180.98790698
2024-10-01,6472.0,1157.9983404190527,1702.3792187489955,587.6980738774198,185.63142999700003
2024-11-01,6451.0,994.1474523394417,1496.2999021514247,530.0627863192664,272.886613506
2024-12-01,6122.0,1101.7669842074342,1924.476764720677,613.823074357784,362.060824032
2025-01-01,6065.0,1052.790385272612,1785.5256010888788,573.0150835758235,362.060824032
2025-02-01,6086.0,1052.93148785808,1464.2031508791547,548.113782072413,362.060824032
2025-03-01,6531.0,1241.6908589753436,1637.306801181216,693.3103082478191,362.060824032
