date,horizon,ARIMA,MS-VAR,MS-VECM,Naive,VECM,XGBoost
2020-12-01,3,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2021-01-01,3,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2021-02-01,3,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2021-03-01,3,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2021-04-01,3,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669
2021-05-01,3,0.20547185513290914,0.3094872001973706,0.0,0.2892265203199643,1.7178043211040832e-12,0.19581442434803803
2021-06-01,3,0.1799270623108096,0.49687030688450806,0.0,0.27465472896611864,1.3267571274771359e-09,0.04854790051180649
2021-07-01,3,0.11365047328483033,0.6874426058760776,0.0,0.19119200839373704,2.6987719404319815e-06,0.007712213673414841
2021-08-01,3,1.4062626508819678e-11,2.150940154286261e-11,0.9999999999555886,6.202822643402348e-12,1.3182567385402624e-12,1.3182567385402624e-12
2021-09-01,3,1.4841840835274213e-11,2.119274521511534e-11,0.9999999999569661,4.3628116959718585e-12,1.318256738540728e-12,1.318256738540728e-12
2021-10-01,3,1.89150285730018e-11,5.381409630688083e-12,0.9999999999717488,1.3182567385447168e-12,1.3182567385447168e-12,1.3182567385447168e-12
2021-11-01,3,1.4613182299300487e-11,2.73883759381415e-12,0.9999999999786932,1.3182567385459352e-12,1.3182567385459352e-12,1.3182567385459352e-12
2021-12-01,3,1.238066244536063e-11,1.3182567385465253e-12,0.9999999999823462,1.3182567385465253e-12,1.3182567385465253e-12,1.3182567385465253e-12
2022-01-01,3,1.1767348550562267e-11,1.9830569779317612e-12,0.9999999999822947,1.3182567385474667e-12,1.3182567385474667e-12,1.3182567385474667e-12
2022-02-01,3,1.0974864444524493e-11,4.646404357771889e-12,0.9999999999804239,1.318256738546452e-12,1.318256738546452e-12,1.318256738546452e-12
2022-03-01,3,1.4809465302873364e-11,1.2885519561724224e-11,0.9999999999683502,1.3182567385428748e-12,1.3182567385428748e-12,1.3182567385428748e-12
2022-04-01,3,1.267640521231311e-11,1.546369210459202e-11,0.9999999999679051,1.3182567385426622e-12,1.3182567385426622e-12,1.3182567385426622e-12
2022-05-01,3,1.6291690544389287e-11,1.9834445423439667e-11,0.9999999999586747,1.733005735292641e-12,1.733005735292641e-12,1.733005735292641e-12
2022-06-01,3,2.0885577614445645e-11,2.5377326154859583e-11,0.999999999946921,2.272019215006526e-12,2.272019215006526e-12,2.272019215006526e-12
2024-04-01,3,0.3927154378810189,0.47624601086973195,0.0,0.043679517083083014,0.043679517083083014,0.043679517083083014
2024-05-01,3,0.19999999999999998,0.19999999999999998,0.0,0.19999999999999998,0.19999999999999998,0.19999999999999998
2024-06-01,3,0.2,0.2,0.0,0.2,0.2,0.2
2024-07-01,3,0.2,0.2,0.0,0.2,0.2,0.2
2024-08-01,3,1.3182567385477194e-12,1.3182567385477194e-12,0.9999999999934086,1.3182567385477194e-12,1.3182567385477194e-12,1.3182567385477194e-12
2024-09-01,3,1.3182567385504398e-12,1.3182567385504398e-12,0.9999999999934086,1.3182567385504398e-12,1.3182567385504398e-12,1.3182567385504398e-12
