model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates,varset,split_label,train_end,valid_end
MS-VAR,validation,6,all,1206.454266354394,1497.009195250772,43.520469279609735,38.94590368930839,4.041898928151022,1417.2794237692767,988.5029051055375,-11.596195425966112,0.36666666666666664,0.5,30,full,2020-07-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
MS-VAR,validation,12,all,2402.8238607112858,2705.503036845546,91.89324110617532,59.70880914904786,8.050011888549923,2432.9668722655483,2144.4409988513894,-21.99465060180695,0.08333333333333333,0.125,24,full,2021-01-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
MS-VECM,test,1,all,274.124785963903,357.68705043470067,6.192081192624011,6.549897418077273,0.9183810024686497,518.1356437958564,206.9340322062015,-7.386259267476662,0.9166666666666666,1.0,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
MS-VECM,test,3,all,556.2299850144151,688.7772083848699,12.324745682916054,13.801888019279762,1.863498221966427,1065.7516918373108,405.26819112677896,-8.070777917879782,0.5833333333333334,0.8055555555555556,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
MS-VECM,test,6,all,886.0090672590375,1080.4205777307234,19.43976679351366,22.94993935873865,2.9683339013817456,1737.1543936856435,693.3616942466307,-9.41534394755603,0.3611111111111111,0.5277777777777778,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
MS-VECM,test,12,all,1665.7815605441635,1900.5648558311123,35.17845483538105,46.177006847729764,5.580750876237033,3315.3753922719497,1413.3239798750224,-14.117076511955949,0.19444444444444445,0.2777777777777778,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
MS-VECM,validation,1,all,453.8431029039376,579.4612985656078,14.273769562834579,14.413931491595909,1.5204786474991923,592.121809981401,328.006347556016,-7.813201870417243,0.7142857142857143,0.8857142857142857,35,full,2020-02-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
MS-VECM,validation,3,all,739.9880084654156,938.9613835002394,22.732291387752078,20.61054339150388,2.479129811773888,824.6097136398074,574.8145576822553,-8.917922526543949,0.5757575757575758,0.6363636363636364,33,full,2020-04-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
MS-VECM,validation,6,all,1291.6327359735346,1561.0798917914333,42.197771865841354,33.795452108898765,4.327266367809954,1351.60569938227,1059.9962960455164,-12.067293228976574,0.3,0.4666666666666667,30,full,2020-07-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
MS-VECM,validation,12,all,2814.409518269485,3113.206084297779,109.12689192530598,66.51555201638145,9.428918387139188,2814.409518269485,2549.121570665284,-26.807584743253543,0.041666666666666664,0.08333333333333333,24,full,2021-01-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
