date,gross_reserves_usd_m,usd_lkr,m2_usd_m
2016-07-01,6489.187703676498,145.401,30224.721502961947
2016-08-01,6598.941049091874,145.2035,30542.233403460665
2016-09-01,6455.718499925342,145.4581,31293.824305555896
2016-10-01,6053.842609846051,146.76,31457.920672239852
2016-11-01,5644.133101910387,147.81,31684.15532827224
2016-12-01,6019.035611001512,148.8152,32413.08060771292
2017-01-01,5453.161533649116,149.8342,32475.970718158067
2017-02-01,5634.658678738561,150.8721,32817.95257759149
2017-03-01,5117.259154753076,151.5048,33637.239286488875
2017-04-01,5048.0818935876005,151.862,33891.321839657794
2017-05-01,6759.704093553758,152.3909,34217.14110974737
2017-06-01,6959.025226455214,152.8082,34562.39323256475
2017-07-01,6710.485696665525,153.5875,34944.267918925696
2017-08-01,7693.548007249217,153.0978,35422.04080438883
2017-09-01,7279.835590729757,152.8125,36012.429372179366
2017-10-01,7500.7921236637585,153.4905,36044.6160065135
2017-11-01,7335.117235752753,153.5925,36134.23489087162
2017-12-01,7958.65303040954,153.1085,37001.951045573565
2018-01-01,7669.98,153.7452,37328.0836288515
2018-02-01,7922.369345490189,154.7737,37646.55235921413
2018-03-01,7319.749709742925,155.6386,38521.86244348317
2018-04-01,9935.768813397091,156.1857,38695.67796615375
2018-05-01,8808.916585622243,157.7527,38336.74320054148
2018-06-01,9267.017122111823,158.9619,38505.126971979196
2018-07-01,8429.671933126869,159.3548,38660.68799081452
2018-08-01,8584.53782202296,160.3217,38944.93865770367
2018-09-01,7164.0793420685,165.2237,38036.0129594824
2018-10-01,7903.305318148267,171.3614,36915.95495707808
2018-11-01,7005.322478512801,176.7275,35961.11119783548
2018-12-01,6919.216639148527,180.0794,35691.642602901054
2019-01-01,6152.196208752774,181.6025,35347.175140248735
2019-02-01,6035.155009941658,178.3944,36270.920214239355
2019-03-01,7629.241941007436,178.0952,36778.31926162575
2019-04-01,7213.972057497156,174.6432,37708.41875583704
2019-05-01,6722.612629789063,176.15,37589.43963742555
2019-06-01,8864.984523119312,176.4635,37748.492169959165
2019-07-01,8347.063830786541,175.8832,38078.926611786235
2019-08-01,8523.712277937197,177.9386,37843.07065607883
2019-09-01,7635.331963594275,180.7975,37396.88027670205
2019-10-01,7780.083013603978,181.3155,37193.315687722345
2019-11-01,7520.452982431865,180.3111,37659.32001704803
2019-12-01,7642.393000751939,181.1976,38150.118507687686
2020-01-01,7512.733529432759,181.3219,38611.25320008333
2020-02-01,7941.515070351391,181.5016,39016.79484063149
2020-03-01,7533.736569408685,184.4095,39780.74758098357
2020-04-01,7209.520101152639,191.3536,39017.28407881932
2020-05-01,6499.857251537734,187.5425,40117.91225258185
2020-06-01,6694.648013475818,185.8705,40910.887976848724
2020-07-01,7095.831822594811,185.7377,41551.99642833073
2020-08-01,7430.083006707859,184.8529,42511.83438135848
2020-09-01,6666.320938200717,184.9519,43400.852794976585
2020-10-01,5855.74394110227,184.3767,44292.26134197239
2020-11-01,5555.275602812615,184.8094,44719.66433189139
2020-12-01,5664.265569350756,186.6329,45521.3860405286
2021-01-01,4841.863004371764,187.0,45989.40424956808
2021-02-01,4582.993424023525,194.01,44874.99545397825
2021-03-01,4055.2,199.04,44516.59998891087
2021-04-01,4470.738472224253,199.54,44826.32240692272
2021-05-01,4032.831217910092,199.5,45196.85318165468
2021-06-01,4060.0459080962846,201.14,45422.1921186853
2021-07-01,2805.884166609781,199.9,46371.09225136638
2021-08-01,3543.508985941734,210.0,44820.95535106536
2021-09-01,2704.1872990039246,199.99,47247.29764639302
2021-10-01,2269.211946488995,201.87,47238.07481352975
2021-11-01,1588.37233054694,202.05,47070.79998102074
2021-12-01,3139.2264604363068,200.43,48091.130860942074
2022-01-01,2361.645210710561,201.19,48091.130860942074
2022-02-01,2311.250466948733,201.06,48091.130860942074
2022-03-01,1917.0,299.0,48091.130860942074
2024-01-01,4496.0,317.41,36071.92076010063
2024-02-01,4520.0,310.15,37294.778191406906
2024-03-01,4960.0,301.18,38971.66991501334
2024-04-01,5471.0,296.86,39986.4375270921
2024-05-01,5410.0,301.89,39848.1775542751
2024-06-01,5654.0,305.71,39650.27563735566
2024-07-01,5652.0,302.37,40325.48222252677
2024-08-01,5959.0,300.33,40717.35142996504
2024-09-01,5994.0,299.36,41108.85874150207
2024-10-01,6472.0,293.72,42097.72828521697
2024-11-01,6451.0,290.92,42748.987457083625
2024-12-01,6122.0,292.58,42748.987457083625
2025-01-01,6065.0,297.58,42763.238364355035
2025-02-01,6086.0,295.5,43404.069089074525
2025-03-01,6531.0,296.35,44005.10782133916
2025-04-01,6327.0,299.62,44005.10782133916
2025-05-01,6286.0,299.44,44005.10782133916
2025-06-01,6081.0,299.97,44005.10782133916
